Currency,Code,Bid,Ask,Last
Algerian Dinar,DZD,114.2939258,115.543334,114.8873
Australian Dollar,AUD,0.756721942,0.760256682,0.757
Bahrain Dinar,BHD,0.375320723,0.376360613,0.376
Botswana Pula,BWP,0.102176265,0.102588043,0.1023
Brazilian Real,BRL,3.464634639,3.488249635,3.4805
Brunei Dollar,BND,1.321269511,1.329207715,1.3238
Canadian Dollar,CAD,1.279818864,1.28910959,1.2836
Chilean Peso,CLP,603.7496431,606.7875594,605.74
Chinese Yuan,CNY,6.317188278,6.352157546,6.3407
Colombian Peso,COP,2800.775013,2817.810735,2806.28
Czech Koruna,CZK,21.04134021,21.16662331,21.144
Danish Krone,DKK,6.15583749,6.197071776,6.1678
Euro,EUR,1.207698203,1.208550006,1.2079
Hungarian Forint,HUF,258.2985348,260.1639247,258.96
Icelandic Krona,ISK,100.5496054,101.4235086,101.03
Indian Rupee,INR,66.49908017,66.90018263,66.7801
Indonesian Rupiah,IDR,13853.06701,13893.31267,13877
Iranian Rial,IRR,41743.39856,41927.76477,41811
Israeli New Sheqel,ILS,3.575965019,3.590474235,3.588
Japanese Yen,JPY,108.8035249,109.8394425,109.31
Kazakhstani Tenge,KZT,326.1990957,328.2801932,327.25
Korean Won,KRW,1071.61569,1078.40672,1076.2
Kuwaiti Dinar,KWD,0.299305146,0.301276175,0.3008
Libyan Dinar,LYD,1.926431237,1.941922388,1.9324
Malaysian Ringgit,MYR,3.904009855,3.93784077,3.9195
Mauritian Rupee,MUR,34.13745259,34.26209138,34.18045
Mexican Peso,MXN,18.75080269,18.79327389,18.7878
Nepalese Rupee,NPR,106.2248161,106.7098759,106.66
New Zealand Dollar,NZD,0.705725429,0.708516289,0.7079
Norwegian Krone,NOK,7.98810311,8.024368578,7.999
Pakistani Rupee,PKR,115.5796596,116.1494945,115.6075
Peso Uruguayo,UYU,28.54918826,28.68808714,28.596
Philippine Peso,PHP,51.79726965,51.97114811,51.965
Polish Zloty,PLN,3.480109225,3.492258726,3.4868
Qatar Riyal,QAR,3.629672733,3.652384523,3.64
Rial Omani,OMR,0.384431485,0.385216398,0.3845
Russian Ruble,RUB,61.81708951,62.28507522,61.9997
Saudi Arabian Riyal,SAR,3.740751241,3.750281705,3.75
Singapore Dollar,SGD,1.323563134,1.327519777,1.3238
South African Rand,ZAR,12.41575739,12.43596629,12.43145
Sri Lanka Rupee,LKR,157.2749267,157.7055645,157.6459
Swedish Krona,SEK,8.665293858,8.682142912,8.6774
Swiss Franc,CHF,0.987305463,0.99203429,0.9894
Thai Baht,THB,31.45916515,31.64431305,31.51
Trinidad and Tobago Dollar,TTD,6.718971441,6.743021553,6.7393
Tunisian Dinar,TND,2.424832594,2.437446969,2.4319
U.A.E. Dirham,AED,3.666789409,3.679413163,3.6725
U.K. Pound Sterling,GBP,1.370140827,1.372957212,1.3725
U.S. Dollar,USD,1,1,1
